epoch,steps,time_sec,time_str,dpo_loss,chosen_reward,rejected_reward,reward_margin,reward_acc,is_best
1,870,4183.81,1h 09m 43s,0.491597,0.766009,0.014178,0.751831,0.7555,1
2,870,4184.32,1h 09m 44s,0.355204,1.360093,-0.01824,1.378333,0.9103,1
