epoch,step,global_step,step_time_s,loss,cls_loss,lm_loss,consistency
2,4999,17079,0.73,0.236815,0.236815,,
2,5199,17279,0.728,0.653241,0.653241,,
2,5399,17479,0.726,0.292815,0.292815,,
2,5599,17679,0.724,0.418814,0.418814,,
2,5799,17879,0.722,0.712585,0.712585,,
2,5999,18079,0.72,0.311694,0.311694,,
2,6199,18279,0.718,0.459833,0.459833,,
2,6399,18479,0.716,0.232736,0.232736,,
2,6599,18679,0.715,0.206436,0.206436,,
2,6799,18879,0.713,0.238611,0.238611,,
2,6999,19079,0.712,0.280191,0.280191,,
2,7199,19279,0.711,0.47222,0.47222,,
2,7399,19479,0.71,0.220164,0.220164,,
2,7599,19679,0.708,0.29538,0.29538,,
2,7799,19879,0.707,0.929602,0.929602,,
2,7999,20079,0.707,0.202966,0.202966,,
2,8199,20279,0.706,0.201031,0.201031,,
2,8399,20479,0.705,0.20368,0.20368,,
2,8599,20679,0.704,0.217499,0.217499,,
2,8799,20879,0.703,0.200781,0.200781,,
2,8999,21079,0.702,0.358717,0.358717,,
2,9199,21279,0.702,0.63595,0.63595,,
2,9399,21479,0.701,0.246304,0.246304,,
2,9599,21679,0.7,0.200977,0.200977,,
2,9799,21879,0.7,0.216508,0.216508,,
2,9999,22079,0.699,0.201263,0.201263,,
2,10199,22279,0.698,0.20014,0.20014,,
2,10399,22479,0.698,0.223724,0.223724,,
2,10599,22679,0.697,0.494202,0.494202,,
2,10799,22879,0.697,0.21138,0.21138,,
2,10999,23079,0.696,0.234769,0.234769,,
2,11199,23279,0.696,0.263419,0.263419,,
2,11399,23479,0.695,0.201382,0.201382,,
2,11599,23679,0.695,0.854117,0.854117,,
2,11799,23879,0.694,0.205679,0.205679,,
2,11999,24079,0.694,0.205368,0.205368,,
2,12079,24159,0.694,0.670065,0.670065,,
3,0,24160,363.329,0.239124,0.239124,,
3,199,24359,2.472,0.224335,0.224335,,
3,399,24559,1.57,0.267865,0.267865,,
3,599,24759,1.269,0.206458,0.206458,,
3,799,24959,1.118,0.199466,0.199466,,
3,999,25159,1.027,0.322906,0.322906,,
3,1199,25359,0.967,0.232211,0.232211,,
3,1399,25559,0.924,0.35206,0.35206,,
3,1599,25759,0.892,0.206094,0.206094,,
3,1799,25959,0.867,0.203156,0.203156,,
3,1999,26159,0.846,0.201575,0.201575,,
3,2199,26359,0.83,0.232495,0.232495,,
3,2399,26559,0.816,0.232416,0.232416,,
3,2599,26759,0.805,0.202719,0.202719,,
3,2799,26959,0.795,0.202148,0.202148,,
3,2999,27159,0.786,0.2289,0.2289,,
3,3199,27359,0.778,0.199112,0.199112,,
3,3399,27559,0.772,0.206055,0.206055,,
3,3599,27759,0.766,0.27713,0.27713,,
3,3799,27959,0.76,0.235056,0.235056,,
3,3999,28159,0.756,0.260172,0.260172,,
3,4199,28359,0.751,0.327979,0.327979,,
3,4399,28559,0.747,0.212012,0.212012,,
3,4599,28759,0.744,0.276547,0.276547,,
3,4799,28959,0.741,0.199063,0.199063,,
3,4999,29159,0.738,0.422946,0.422946,,
3,5199,29359,0.735,0.267947,0.267947,,
3,5399,29559,0.732,0.210123,0.210123,,
3,5599,29759,0.73,0.211905,0.211905,,
3,5799,29959,0.728,0.199619,0.199619,,
3,5999,30159,0.726,0.240143,0.240143,,
3,6199,30359,0.724,0.22518,0.22518,,
3,6399,30559,0.722,0.226852,0.226852,,
3,6599,30759,0.72,0.24454,0.24454,,
3,6799,30959,0.718,0.219177,0.219177,,
3,6999,31159,0.717,0.206647,0.206647,,
3,7199,31359,0.715,0.199875,0.199875,,
3,7399,31559,0.714,0.494208,0.494208,,
3,7599,31759,0.713,0.242242,0.242242,,
3,7799,31959,0.712,0.505286,0.505286,,
3,7999,32159,0.71,0.224225,0.224225,,
3,8199,32359,0.709,0.335925,0.335925,,
3,8399,32559,0.708,0.205423,0.205423,,
3,8599,32759,0.707,0.200516,0.200516,,
3,8799,32959,0.706,0.363464,0.363464,,
3,8999,33159,0.705,0.263647,0.263647,,
3,9199,33359,0.705,0.241287,0.241287,,
3,9399,33559,0.704,0.201398,0.201398,,
3,9599,33759,0.703,0.201404,0.201404,,
3,9799,33959,0.702,0.942899,0.942899,,
3,9999,34159,0.701,0.25751,0.25751,,
3,10199,34359,0.701,0.199634,0.199634,,
3,10399,34559,0.7,0.202071,0.202071,,
3,10599,34759,0.699,0.434964,0.434964,,
3,10799,34959,0.699,0.28728,0.28728,,
3,10999,35159,0.698,0.199237,0.199237,,
3,11199,35359,0.698,0.416272,0.416272,,
3,11399,35559,0.697,0.214169,0.214169,,
3,11599,35759,0.696,0.200186,0.200186,,
3,11799,35959,0.696,0.28548,0.28548,,
3,11999,36159,0.695,0.268719,0.268719,,
3,12079,36239,0.695,0.711478,0.711478,,
4,0,26295,681.021,1.215923,0.201819,3.35121,0.174814
4,199,26494,17.633,1.039215,0.224323,2.701455,0.08913
