epoch,stage,tr_loss,tr_cls,tr_lm,tr_acc,tr_f1,va_loss,va_acc,va_f1,va_auc,is_best
1,joint,0.712399,0.44465,0.892497,0.834493,0.845474,0.417373,0.85825,0.850829,0.943113,1
1,joint,0.620374,0.432738,0.625454,0.843925,0.844156,0.46028,0.8345,0.811718,0.938602,1
2,joint,0.619648,0.433388,0.620868,0.845066,0.845717,0.45296,0.8385,0.81772,0.940492,1
3,joint,0.614758,0.429338,0.618065,0.848973,0.848753,0.449589,0.8405,0.820887,0.941918,1
4,joint,0.614904,0.429319,0.618616,0.849572,0.849512,0.451978,0.83925,0.818822,0.941592,0
5,joint,0.614356,0.428928,0.618093,0.847918,0.848108,0.45367,0.83775,0.816822,0.941185,0
