09:17:15 | Device: cuda
09:17:15 | GPU   : NVIDIA RTX A5000
09:17:15 | VRAM  : 25.8 GB
09:17:15 | Loading data ...
09:19:14 | Building model ...
09:19:23 | Optimizer groups: LoRA=392 tensors, custom=20 tensors
09:19:23 | ======================================================================
09:19:23 |   batch_size=8  grad_accum=4  eff_batch=32
09:19:23 |   lm_seq_len=192  lm_loss_weight=0.3
09:19:23 |   epochs_cls=3  epochs_joint=2
09:19:23 |   lr=5e-05  lora_rank=64
09:19:23 |   steps/epoch=18112  total_steps=90560
09:19:23 |   logs → ./runs/intern_exp2\logs
09:19:23 | ======================================================================
09:19:23 |   Ep    Stage   TrLoss   TrAcc   VaLoss   VaAcc   VaAUC  Best
09:19:23 | ======================================================================
10:54:09 | Ep 1 | Step 11200/18112 | Loss 0.5685 | Cls 0.5685
10:55:20 | Ep 1 | Step 11400/18112 | Loss 0.6612 | Cls 0.6612
10:56:31 | Ep 1 | Step 11600/18112 | Loss 0.6886 | Cls 0.6886
10:57:42 | Ep 1 | Step 11800/18112 | Loss 0.5408 | Cls 0.5408
10:58:53 | Ep 1 | Step 12000/18112 | Loss 0.6170 | Cls 0.6170
11:00:04 | Ep 1 | Step 12200/18112 | Loss 0.6036 | Cls 0.6036
11:01:15 | Ep 1 | Step 12400/18112 | Loss 0.5147 | Cls 0.5147
11:02:26 | Ep 1 | Step 12600/18112 | Loss 0.5030 | Cls 0.5030
11:03:38 | Ep 1 | Step 12800/18112 | Loss 0.6668 | Cls 0.6668
11:04:51 | Ep 1 | Step 13000/18112 | Loss 0.5832 | Cls 0.5832
11:06:03 | Ep 1 | Step 13200/18112 | Loss 0.5734 | Cls 0.5734
11:07:14 | Ep 1 | Step 13400/18112 | Loss 0.7336 | Cls 0.7336
11:08:25 | Ep 1 | Step 13600/18112 | Loss 0.6472 | Cls 0.6472
11:09:36 | Ep 1 | Step 13800/18112 | Loss 0.5158 | Cls 0.5158
11:10:47 | Ep 1 | Step 14000/18112 | Loss 0.4284 | Cls 0.4284
11:11:59 | Ep 1 | Step 14200/18112 | Loss 0.5235 | Cls 0.5235
11:13:10 | Ep 1 | Step 14400/18112 | Loss 0.4710 | Cls 0.4710
11:14:21 | Ep 1 | Step 14600/18112 | Loss 0.8005 | Cls 0.8005
11:15:32 | Ep 1 | Step 14800/18112 | Loss 0.7837 | Cls 0.7837
11:16:43 | Ep 1 | Step 15000/18112 | Loss 1.1447 | Cls 1.1447
11:17:54 | Ep 1 | Step 15200/18112 | Loss 0.4311 | Cls 0.4311
11:19:05 | Ep 1 | Step 15400/18112 | Loss 0.4878 | Cls 0.4878
11:20:16 | Ep 1 | Step 15600/18112 | Loss 0.6840 | Cls 0.6840
11:21:27 | Ep 1 | Step 15800/18112 | Loss 0.5349 | Cls 0.5349
11:22:38 | Ep 1 | Step 16000/18112 | Loss 0.5719 | Cls 0.5719
11:23:49 | Ep 1 | Step 16200/18112 | Loss 0.4685 | Cls 0.4685
11:25:00 | Ep 1 | Step 16400/18112 | Loss 0.6823 | Cls 0.6823
11:26:11 | Ep 1 | Step 16600/18112 | Loss 0.6148 | Cls 0.6148
11:27:22 | Ep 1 | Step 16800/18112 | Loss 0.6358 | Cls 0.6358
