epoch,step,global_step,loss,cls_loss,lm_loss
1,0,0,1.552057,1.552057,
1,200,200,0.648762,0.648762,
1,400,400,1.205722,1.205722,
1,600,600,1.177531,1.177531,
1,800,800,0.673663,0.673663,
1,1000,1000,0.557605,0.557605,
1,1200,1200,0.741138,0.741138,
1,1400,1400,0.834033,0.834033,
1,1600,1600,0.901721,0.901721,
1,1800,1800,0.764575,0.764575,
1,2000,2000,0.802893,0.802893,
1,2200,2200,0.849997,0.849997,
1,2400,2400,0.799292,0.799292,
1,2600,2600,0.747205,0.747205,
1,2800,2800,0.85752,0.85752,
1,3000,3000,0.688269,0.688269,
1,3200,3200,0.694165,0.694165,
1,3400,3400,0.582129,0.582129,
1,3600,3600,0.618884,0.618884,
1,3800,3800,0.708606,0.708606,
1,4000,4000,0.668604,0.668604,
1,4200,4200,0.809436,0.809436,
1,4400,4400,0.584045,0.584045,
1,4600,4600,0.659393,0.659393,
1,4800,4800,0.560693,0.560693,
1,5000,5000,0.598608,0.598608,
1,5200,5200,0.722412,0.722412,
1,5400,5400,0.638306,0.638306,
1,5600,5600,0.667041,0.667041,
1,5800,5800,0.68429,0.68429,
1,6000,6000,0.605249,0.605249,
1,6200,6200,0.642102,0.642102,
1,6400,6400,0.628308,0.628308,
1,6600,6600,0.693115,0.693115,
1,6800,6800,0.640259,0.640259,
1,7000,7000,0.515576,0.515576,
1,7200,7200,0.647571,0.647571,
1,7400,7400,0.870215,0.870215,
1,7600,7600,0.699695,0.699695,
1,7800,7800,0.729089,0.729089,
1,8000,8000,0.693994,0.693994,
1,8200,8200,0.71123,0.71123,
1,8400,8400,0.711267,0.711267,
1,8600,8600,0.473483,0.473483,
1,8800,8800,0.635657,0.635657,
1,9000,9000,0.62124,0.62124,
1,9200,9200,0.660388,0.660388,
1,9400,9400,0.782703,0.782703,
1,9600,9600,0.887903,0.887903,
1,9800,9800,0.701788,0.701788,
1,10000,10000,0.540112,0.540112,
1,10200,10200,0.681726,0.681726,
1,10400,10400,0.701611,0.701611,
1,10600,10600,0.643787,0.643787,
1,10800,10800,0.687524,0.687524,
1,11000,11000,0.504736,0.504736,
1,11200,11200,0.568454,0.568454,
1,11400,11400,0.661218,0.661218,
1,11600,11600,0.688602,0.688602,
1,11800,11800,0.540768,0.540768,
1,12000,12000,0.616962,0.616962,
1,12200,12200,0.603552,0.603552,
1,12400,12400,0.514685,0.514685,
1,12600,12600,0.502979,0.502979,
1,12800,12800,0.666846,0.666846,
1,13000,13000,0.583203,0.583203,
1,13200,13200,0.573419,0.573419,
1,13400,13400,0.733606,0.733606,
1,13600,13600,0.64718,0.64718,
1,13800,13800,0.515814,0.515814,
1,14000,14000,0.428421,0.428421,
1,14200,14200,0.523517,0.523517,
1,14400,14400,0.470972,0.470972,
1,14600,14600,0.800479,0.800479,
1,14800,14800,0.783679,0.783679,
1,15000,15000,1.144702,1.144702,
1,15200,15200,0.431094,0.431094,
1,15400,15400,0.487799,0.487799,
1,15600,15600,0.684009,0.684009,
1,15800,15800,0.534851,0.534851,
1,16000,16000,0.571936,0.571936,
1,16200,16200,0.468481,0.468481,
1,16400,16400,0.682349,0.682349,
1,16600,16600,0.61477,0.61477,
1,16800,16800,0.635825,0.635825,
1,17000,17000,0.503101,0.503101,
1,17200,17200,0.434766,0.434766,
1,17400,17400,0.63866,0.63866,
1,17600,17600,0.640024,0.640024,
1,17800,17800,0.60874,0.60874,
1,18000,18000,0.491077,0.491077,
